,Car Name,Price,Fuel No.of KM
0,"Xl6 ZET 
",₹ 12 60 000,2024 | Petrol | 577 km
1,"Alto K10 VXI+ 
",₹ 5 60 000,2024 | Petrol | 2 331 km
2,"Grand Vitara ALPHA 6AT 
",₹ 19 25 000,2024 | Petrol | 167 km
3,"Alto K10 VXI+ 
",₹ 5 20 000,2024 | Petrol | 7 687 km
4,"Alto K10 VXI+ 
",₹ 4 25 000,2024 | Petrol | 1 112 km
5,"Wagon R VXI AGS 
",₹ 6 35 000,2024 | Petrol | 5 425 km
6,"Alto K10 VXI+ 
",₹ 5 90 000,2024 | Petrol | 1 515 km
7,"Alto K10 VXI+ 
",₹ 4 95 000,2024 | Petrol | 852 km
8,"Dzire TOUR S CNG 1.2L 5MT 
",₹ 5 80 000,2024 | CNG | 52 479 km
9,"Alto K10 VXI 
",₹ 5 50 000,2023 | Petrol | 7 301 km
10,"New Baleno ALPHA 1.2L ISS 5MT 
",₹ 9 65 000,2023 | Petrol | 9 355 km
11,"Baleno ZETA AGS 
",₹ 8 96 000,2023 | Petrol | 16 728 km
